country_name,happiness_rank,happiness_score,pop2019,country_code,x2018
Guinea,118,4.534,12771.246,GIN,878.599613250501
Georgia,119,4.519,3996.765,GEO,4717.14302573577
Gambia,120,4.516,2347.706,GMB,
Kenya,121,4.509,52573.973,KEN,1710.51009699405
Mauritania,122,4.49,4525.696,MRT,1188.83458753973
Mozambique,123,4.466,30366.036,MOZ,498.957220208652
Tunisia,124,4.461,11694.719,TUN,3447.50790975551
Bangladesh,125,4.456,163046.161,BGD,1698.26280233547
Iraq,126,4.437,39309.783,IRQ,5834.16621076061
DR Congo,127,4.418,86790.567,COD,
Mali,128,4.39,19658.031,MLI,899.659908096615
Sierra Leone,129,4.374,7813.215,SLE,533.991184258936
Sri Lanka,130,4.366,21323.733,LKA,4102.48135014467
Myanmar,131,4.36,54045.42,MMR,1325.9529237064
Chad,132,4.35,15946.876,TCD,728.343235359289
Ukraine,133,4.332,43993.638,UKR,3095.17358053586
Ethiopia,134,4.286,112078.73,ETH,772.313530261357
Uganda,136,4.189,44269.594,UGA,642.776744292007
Egypt,137,4.166,100388.073,EGY,
Zambia,138,4.107,17861.03,ZMB,1539.90015779907
Togo,139,4.085,8082.366,TGO,679.257083602874
India,140,4.015,1366417.754,IND,2009.97885727039
Liberia,141,3.975,4937.374,LBR,677.322178545364
Comoros,142,3.973,850.886,COM,1415.26362231563
Madagascar,143,3.933,26969.307,MDG,527.501285041282
Lesotho,144,3.802,2125.268,LSO,1299.15312598733
Burundi,145,3.775,11530.58,BDI,271.752044376648
Zimbabwe,146,3.663,14645.468,ZWE,2146.99638487707
Haiti,147,3.597,11263.077,HTI,868.34202469407
Botswana,148,3.488,2303.697,BWA,8258.64166574691
Syria,149,3.462,17070.135,SYR,
Malawi,150,3.41,18628.747,MWI,389.398033178836
Yemen,151,3.38,29161.922,YEM,
Rwanda,152,3.334,12626.95,RWA,772.944459929187
Tanzania,153,3.231,58005.463,TZA,1050.67525379846
Afghanistan,154,3.203,38041.754,AFG,520.896602719135
Central African Republic,155,3.083,4745.185,CAF,475.721250544318
South Sudan,156,2.853,11062.113,SSD,
Aruba,,,,ABW,
Angola,,,,AGO,3432.38573600893
Andorra,,,,AND,42029.7627372989
Arab World,,,,ARB,6608.80697772202
American Samoa,,,,ASM,11466.6907058505
Antigua and Barbuda,,,,ATG,16726.9808079479
"Bahamas, The",,,,BHS,32217.871590084
Belize,,,,BLZ,4884.74242133376
Bermuda,,,,BMU,
Barbados,,,,BRB,17949.2815054371
Brunei Darussalam,,,,BRN,31628.3287914349
Central Europe and the Baltics,,,,CEB,15929.004063352
Channel Islands,,,,CHI,
Cote d'Ivoire,,,,CIV,1715.53133212649
"Congo, Dem. Rep.",,,,COD,561.777182390425
"Congo, Rep.",,,,COG,2147.76946104594
Cabo Verde,,,,CPV,3635.40684982339
Caribbean small states,,,,CSS,9991.01614896676
Cuba,,,,CUB,8821.81889125004
Curacao,,,,CUW,19567.8924351055
Cayman Islands,,,,CYM,
Djibouti,,,,DJI,3082.54309871957
Dominica,,,,DMA,7691.34509727878
East Asia & Pacific (excluding high income),,,,EAP,7822.8548040433
Early-demographic dividend,,,,EAR,3581.91782862635
East Asia & Pacific,,,,EAS,11142.5912256169
Europe & Central Asia (excluding high income),,,,ECA,8163.51710520999
Europe & Central Asia,,,,ECS,25107.2744154632
"Egypt, Arab Rep.",,,,EGY,2549.13225178609
Euro area,,,,EMU,39927.6175863293
Eritrea,,,,ERI,
European Union,,,,EUU,36569.7338172336
Fragile and conflict affected situations,,,,FCS,1633.16563964279
Fiji,,,,FJI,6266.96796528074
Faroe Islands,,,,FRO,
"Micronesia, Fed. Sts.",,,,FSM,3568.29082936098
Gibraltar,,,,GIB,
"Gambia, The",,,,GMB,716.118488979126
Guinea-Bissau,,,,GNB,777.969921802522
Equatorial Guinea,,,,GNQ,10261.7600116887
Grenada,,,,GRD,10640.496760331
Greenland,,,,GRL,
Guam,,,,GUM,35712.5621350321
Guyana,,,,GUY,4979.00218839886
High income,,,,HIC,44786.5796621349
"Hong Kong SAR, China",,,,HKG,48675.6164599767
Heavily indebted poor countries (HIPC),,,,HPC,934.613745816671
IBRD only,,,,IBD,6385.46162560212
IDA & IBRD total,,,,IBT,5098.53896649042
IDA total,,,,IDA,1359.29022728577
IDA blend,,,,IDB,1787.91519951321
IDA only,,,,IDX,1139.70075846414
Isle of Man,,,,IMN,
Not classified,,,,INX,
"Iran, Islamic Rep.",,,,IRN,
Kyrgyz Republic,,,,KGZ,1281.36366078545
Kiribati,,,,KIR,1625.28610001512
St. Kitts and Nevis,,,,KNA,19275.4185126565
"Korea, Rep.",,,,KOR,31362.75147294
Latin America & Caribbean (excluding high income),,,,LAC,8546.01902176315
Lao PDR,,,,LAO,2542.4865281792
St. Lucia,,,,LCA,10566.0497458462
Latin America & Caribbean,,,,LCN,9044.21587884566
Least developed countries: UN classification,,,,LDC,1054.53940004273
Low income,,,,LIC,833.875876051463
Liechtenstein,,,,LIE,
Lower middle income,,,,LMC,2217.12313866637
Low & middle income,,,,LMY,4971.16260680749
Late-demographic dividend,,,,LTE,9692.65276890505
"Macao SAR, China",,,,MAC,87208.535912643
St. Martin (French part),,,,MAF,
Monaco,,,,MCO,185741.279991587
Maldives,,,,MDV,10330.615614094
Middle East & North Africa,,,,MEA,8042.8494647245
Marshall Islands,,,,MHL,3788.16359372058
Middle income,,,,MIC,5485.48476461947
North Macedonia,,,,MKD,6083.71894832148
Middle East & North Africa (excluding high income),,,,MNA,
Northern Mariana Islands,,,,MNP,23258.6758552794
North America,,,,NAC,61117.0483726436
New Caledonia,,,,NCL,
Nauru,,,,NRU,9888.89359652993
OECD members,,,,OED,40410.4547316493
Oman,,,,OMN,16415.1572780989
Other small states,,,,OSS,14707.7071595799
Palau,,,,PLW,15859.4348578768
Papua New Guinea,,,,PNG,2730.27479935873
Pre-demographic dividend,,,,PRE,1437.28936962287
Puerto Rico,,,,PRI,31651.3481514031
"Korea, Dem. People’s Rep.",,,,PRK,
West Bank and Gaza,,,,PSE,3198.86664447405
Pacific island small states,,,,PSS,4224.52989029586
Post-demographic dividend,,,,PST,45126.4977785641
French Polynesia,,,,PYF,
Russian Federation,,,,RUS,11288.8724435206
South Asia,,,,SAS,1902.85129020806
Sudan,,,,SDN,977.273635724417
Solomon Islands,,,,SLB,2137.69069539357
San Marino,,,,SMR,
Sub-Saharan Africa (excluding high income),,,,SSA,1584.43823372274
Sub-Saharan Africa,,,,SSF,1585.77214781685
Small states,,,,SST,13215.7913914968
Sao Tome and Principe,,,,STP,2001.14090226164
Suriname,,,,SUR,6234.04492230646
Slovak Republic,,,,SVK,19442.7057620693
Eswatini,,,,SWZ,4145.97411168691
Sint Maarten (Dutch part),,,,SXM,
Seychelles,,,,SYC,16433.9352865158
Syrian Arab Republic,,,,SYR,
Turks and Caicos Islands,,,,TCA,27142.2277976902
East Asia & Pacific (IDA & IBRD countries),,,,TEA,7905.03514758609
Europe & Central Asia (IDA & IBRD countries),,,,TEC,8822.86923223195
Latin America & the Caribbean (IDA & IBRD countries),,,,TLA,8887.51136267302
Timor-Leste,,,,TLS,2035.53390768881
Middle East & North Africa (IDA & IBRD countries),,,,TMN,
Tonga,,,,TON,4364.01556134949
South Asia (IDA & IBRD),,,,TSA,1902.85129020806
Sub-Saharan Africa (IDA & IBRD countries),,,,TSS,1585.77214781685
Tuvalu,,,,TUV,3700.71067713471
Upper middle income,,,,UMC,9205.37873960243
St. Vincent and the Grenadines,,,,VCT,7361.4009618002
"Venezuela, RB",,,,VEN,
British Virgin Islands,,,,VGB,
Virgin Islands (U.S.),,,,VIR,
Vanuatu,,,,VUT,3123.89339649956
World,,,,WLD,11312.4515897741
Samoa,,,,WSM,4183.40793504696
Kosovo,,,,XKX,4302.27648252378
"Yemen, Rep.",,,,YEM,944.408499373419
